player_name,team,position,position_raw,age,club_name,birth_year,matches_played,starts,total_minutes_tournament,nineties,total_goals_tournament,total_assists_tournament,goals_plus_assists,non_penalty_goals,penalty_goals,penalty_attempts,yellow_cards_tournament,red_cards_tournament,goals_per90,assists_per90
Emmanuel Agbadou,Côte d'Ivoire,Defender,DF,28,1.tr Beşiktaş,1997,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0
Rodrigo Aguirre,Uruguay,Forward,FW,31,1.mx América,1994,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Ali Ahmed,Canada,Midfielder,MF,25,2.eng Norwich City,2000,4,3,234,2.6,0,0,0,0,0,0,0,0,0.0,0.0
Homam Ahmed,Qatar,Defender,DF,26,2.es Cultural Leonesa,1999,2,2,122,1.4,0,1,1,0,0,0,0,1,0.0,0.74
Rayan Aït-Nouri,Algeria,Defender,DF,25,1.eng Manchester City,2001,4,3,284,3.2,0,0,0,0,0,0,0,0,0.0,0.0
Kristoffer Ajer,Norway,Defender,DF,28,1.eng Brentford,1998,5,5,480,5.3,0,0,0,0,0,0,1,0,0.0,0.0
Manuel Akanji,Switzerland,Defender,DF,30,1.it Inter,1995,6,6,600,6.7,0,0,0,0,0,0,0,0,0.0,0.0
Nathan Aké,Netherlands,Defender,DF,31,1.eng Manchester City,1995,3,2,170,1.9,0,0,0,0,0,0,0,0,0.0,0.0
Yunus Akgün,Türkiye,Midfielder,MF,25,1.tr Galatasaray,2000,2,1,88,1.0,0,0,0,0,0,0,1,0,0.0,0.0
Maghnes Akliouche,France,Midfielder,MF,24,1.fr Monaco,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0
Kerem Aktürkoğlu,Türkiye,Forward,FW,27,1.tr Fenerbahçe,1998,2,2,129,1.4,0,0,0,0,0,0,0,0,0.0,0.0
Ahmed Alaaeldin,Qatar,Forward,FW,33,1.qa Al Rayyan SC,1993,2,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0
David Alaba,Austria,Defender,DF,33,1.es Real Madrid,1992,4,4,275,3.1,0,1,1,0,0,0,0,0,0.0,0.33
Kerim Alajbegović,Bosnia–Herz,Midfielder,MF,18,1.at RB Salzburg,2007,4,3,277,3.1,1,0,1,1,0,0,0,0,0.32,0.0
Jordy Alcivar,Ecuador,Midfielder,MF,26,1.ec Independiente,1999,1,1,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0
Omar Alderete,Paraguay,Defender,DF,29,1.eng Sunderland,1996,4,4,320,3.6,0,0,0,0,0,0,0,0,0.0,0.0
Almoez Ali,Qatar,Forward,FW,29,1.qa Al Duhail SC,1996,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0
Hussein Ali,Iraq,Defender,DF,24,1.pl Pogoń Szczecin,2002,2,2,162,1.8,0,0,0,0,0,0,0,0,0.0,0.0
Mohanad Ali,Iraq,Forward,FW,25,1.ae Dibba Al Fujairah,2000,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0
Taha Ali,Sweden,Forward,FWMF,27,1.se Malmö,1998,2,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0
Khojiakbar Alijonov,Uzbekistan,Midfielder,MF,29,1.uz Pakhtakor Tashkent FK,1997,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0
Ali Alipour,IR Iran,Forward,FW,30,1.ir Persepolis,1995,1,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0
Alisson,Brazil,Goalkeeper,GK,33,1.eng Liverpool,1992,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0
Thiago Almada,Argentina,Midfielder,MF,25,1.es Atlético Madrid,2001,5,3,241,2.7,0,0,0,0,0,0,1,0,0.0,0.0
Miguel Almirón,Paraguay,Midfielder,MFFW,32,1.us Atlanta Utd,1994,4,4,282,3.1,0,0,0,0,0,0,1,1,0.0,0.0
Júnior Alonso,Paraguay,Defender,DF,33,1.br Atlético Mineiro,1993,5,4,390,4.3,0,0,0,0,0,0,1,0,0.0,0.0
Barış Alper Yılmaz,Türkiye,Midfielder,MFFW,26,1.tr Galatasaray,2000,3,2,179,2.0,1,1,2,1,0,0,0,0,0.5,0.5
Roberto Alvarado,Mexico,Forward,FWMF,27,1.mx Guadalajara,1998,5,5,428,4.8,0,3,3,0,0,0,0,0,0.0,0.63
Edson Álvarez,Mexico,Midfielder,MFDF,28,1.eng West Ham,1997,4,2,240,2.7,0,0,0,0,0,0,1,0,0.0,0.0
Julián Álvarez,Argentina,Forward,FW,26,1.es Atlético Madrid,2000,8,5,602,6.7,1,0,1,1,0,0,0,0,0.15,0.0
Ayoube Amaimouni,Morocco,Midfielder,MF,21,1.de Frankfurt,2004,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0
Zeki Amdouni,Switzerland,Forward,FWMF,25,1.eng Burnley,2000,4,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0
Michael Amir Murillo,Panama,Defender,DFMF,30,1.tr Beşiktaş,1996,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0
Nadiem Amiri,Germany,Midfielder,MF,29,1.de Mainz 05,1996,2,0,42,0.5,0,1,1,0,0,0,0,0,0.0,2.14
Amir Al Ammari,Iraq,Midfielder,MF,28,1.pl Cracovia,1997,3,3,247,2.7,0,1,1,0,0,0,2,0,0.0,0.36
Azizbek Amonov,Uzbekistan,Forward,FW,28,1.uz FK Bukhara Nurafshon,1997,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0
Mohamed Amoura,Algeria,Forward,FWMF,26,1.de Wolfsburg,2000,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0
Sofyan Amrabat,Morocco,Midfielder,MF,29,1.es Real Betis,1996,3,1,147,1.6,0,0,0,0,0,0,0,0,0.0,0.0
Abdulelah Al-Amri,Saudi Arabia,Defender,DF,29,,1997,3,3,239,2.7,1,0,1,1,0,0,1,0,0.38,0.0
Youssef Amyn,Iraq,Midfielder,MF,22,1.cy AEK Larnaca,2003,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0
Elliot Anderson,England,Midfielder,MF,23,1.eng Nottingham,2002,8,7,632,7.0,0,1,1,0,0,0,1,0,0.0,0.14
Andrés Andrade Cedeño,Panama,Defender,DF,27,1.at LASK,1998,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0
Fredrik André Bjørkan,Norway,Defender,DF,27,1.no Bodø/Glimt,1998,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0
Nilson Angulo,Ecuador,Midfielder,MF,22,1.eng Sunderland,2003,4,2,218,2.4,1,0,1,1,0,0,0,0,0.41,0.0
Waldemar Anton,Germany,Defender,DFMF,29,1.de Dortmund,1996,2,0,50,0.6,0,0,0,0,0,0,0,0,0.0,0.0
Jeremy Antonisse,Curaçao,Forward,FWMF,24,1.gr AE Kifisia,2002,2,0,75,0.8,0,0,0,0,0,0,0,0,0.0,0.0
Houssem Aouar,Algeria,Midfielder,MF,27,1.sa Al-Ittihad,1998,3,2,173,1.9,0,2,2,0,0,0,0,0,0.0,1.04
Oswin Appollis,South Africa,Midfielder,MFFW,24,1.za Orlando Pirates,2001,4,3,255,2.8,0,0,0,0,0,0,0,0,0.0,0.0
Yazan Al-Arab,Jordan,Defender,DF,30,1.kr FC Seoul,1996,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0
Maxi Araújo,Uruguay,Forward,FWMF,26,1.pt Sporting CP,2000,3,3,250,2.8,2,1,3,2,0,0,0,0,0.72,0.36
Tomás Araújo,Portugal,Defender,DF,24,1.pt Benfica,2002,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0
Telmo Arcanjo,Cabo Verde,Midfielder,MF,24,1.pt Vit. Guimarães,2001,2,1,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0
Álex Arce,Paraguay,Forward,FW,30,1.ar Ind. Rivadavia,1995,2,0,53,0.6,0,0,0,0,0,0,1,0,0.0,0.0
Carlens Arcus,Haiti,Midfielder,MFDF,29,1.fr Angers,1996,3,2,146,1.6,0,0,0,0,0,0,1,0,0.0,0.0
Max Arfsten,USA,Midfielder,MF,25,1.us Columbus Crew,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Jhon Arias,Colombia,Midfielder,MF,28,1.br Palmeiras,1997,5,5,377,4.2,1,0,1,1,0,0,1,0,0.24,0.0
Santiago Arias,Colombia,Defender,DF,34,1.ar Independiente,1992,1,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0
Marko Arnautović,Austria,Forward,FW,37,1.rs Red Star,1989,4,1,144,1.6,2,0,2,1,1,1,1,0,1.25,0.0
Benjamin Asare,Ghana,Goalkeeper,GK,33,1.gh Accra Hearts of Oak,1992,3,2,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0
Emam Ashour,Egypt,Midfielder,MF,28,1.eg Al Ahly,1998,5,5,362,4.0,2,0,2,2,0,0,0,0,0.5,0.0
Rustam Ashurmatov,Uzbekistan,Defender,DF,29,1.ir Esteghlal,1996,3,3,256,2.8,0,0,0,0,0,0,0,0,0.0,0.0
Lawrence Ati-Zigi,Ghana,Goalkeeper,GK,29,1.ch St. Gallen,1996,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0
Marwan Attia,Egypt,Midfielder,MF,27,1.eg Al Ahly,1998,5,4,434,4.8,0,1,1,0,0,0,2,0,0.0,0.21
Fredrik Aursnes,Norway,Midfielder,MFDF,30,1.pt Benfica,1995,6,3,304,3.4,0,0,0,0,0,0,0,0,0.0,0.0
Gabriel Ávalos,Paraguay,Forward,FW,35,1.ar Independiente,1990,4,2,141,1.6,0,0,0,0,0,0,0,0,0.0,0.0
Yasin Ayari,Sweden,Midfielder,MF,22,1.eng Brighton,2003,4,4,339,3.8,2,0,2,2,0,0,1,0,0.53,0.0
Oğuz Aydın,Türkiye,Defender,DF,25,1.tr Fenerbahçe,2000,1,1,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0
Jordan Ayew,Ghana,Forward,FW,34,2.eng Leicester City,1991,4,4,300,3.3,0,0,0,0,0,0,0,0,0.0,0.0
Kaan Ayhan,Türkiye,Defender,DFMF,31,1.tr Galatasaray,1994,1,0,3,0.0,1,0,1,1,0,0,0,0,30.0,0.0
Neil El Aynaoui,Morocco,Midfielder,MF,24,1.it Roma,2001,6,6,562,6.2,0,0,0,0,0,0,0,0,0.0,0.0
Ali Azaizeh,Jordan,Midfielder,MF,22,1.sa Al-Shabab,2004,3,1,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0
Juninho Bacuna,Curaçao,Midfielder,MF,28,1.nl Volendam,1997,3,3,254,2.8,0,0,0,0,0,0,2,0,0.0,0.0
Leandro Bacuna,Curaçao,Midfielder,MF,34,2.tr 76 Iğdır Belediyespor,1991,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0
Álex Baena,Spain,Midfielder,MFFW,24,1.es Atlético Madrid,2001,7,7,481,5.3,1,1,2,1,0,0,1,0,0.19,0.19
Esmir Bajraktarevic,Bosnia–Herz,Midfielder,MF,21,1.nl PSV,2005,4,2,230,2.6,0,0,0,0,0,0,0,0,0.0,0.0
Cédric Bakambu,Congo DR,Forward,FW,35,1.es Real Betis,1991,3,3,190,2.1,0,0,0,0,0,0,0,0,0.0,0.0
Fabián Balbuena,Paraguay,Defender,DF,34,1.br Grêmio,1991,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Folarin Balogun,USA,Forward,FW,24,1.fr Monaco,2001,4,4,312,3.5,3,0,3,3,0,0,1,1,0.87,0.0
Simon Banza,Congo DR,Forward,FWMF,29,1.ae Al Jazira Club,1996,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0
Yoel Bárcenas,Panama,Midfielder,MF,32,1.mx Mazatlán,1993,3,3,249,2.8,0,0,0,0,0,0,1,0,0.0,0.0
Valentín Barco,Argentina,Defender,DFMF,21,1.fr Strasbourg,2004,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0
Bradley Barcola,France,Midfielder,MF,23,1.fr PSG,2002,8,4,384,4.3,3,1,4,3,0,0,1,0,0.7,0.23
Abdülkerim Bardakcı,Türkiye,Defender,DF,31,1.tr Galatasaray,1994,3,3,265,2.9,0,0,0,0,0,0,0,0,0.0,0.0
Ivan Bašić,Bosnia–Herz,Midfielder,MF,24,1.kz FC Astana,2002,3,2,179,2.0,0,1,1,0,0,0,0,0,0.0,0.5
Ahmed Basil,Iraq,Goalkeeper,GK,29,1.iq Al-Shorta,1996,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0
Martin Baturina,Croatia,Midfielder,MFFW,23,1.it Como,2003,4,4,321,3.6,1,0,1,1,0,0,0,0,0.28,0.0
Ibrahim Bayesh,Iraq,Midfielder,MFFW,26,1.ae Al Dhafra SCC,2000,3,3,235,2.6,0,0,0,0,0,0,0,0,0.0,0.0
Samed Baždar,Bosnia–Herz,Forward,FW,22,1.de Gladbach,2004,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0
Riechedly Bazoer,Curaçao,Defender,DF,29,1.tr Konyaspor,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0
Patrick Beach,Australia,Goalkeeper,GK,22,1.au Melb City,2003,4,4,388,4.3,0,0,0,0,0,0,0,0,0.0,0.0
Aziz Behich,Australia,Midfielder,MF,35,1.au Melb City,1990,3,2,217,2.4,0,0,0,0,0,0,0,0,0.0,0.0
Maximilian Beier,Germany,Forward,FWMF,23,1.de Dortmund,2002,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0
Alireza Beiranvand,IR Iran,Goalkeeper,GK,33,1.ir Tractor,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0
Zineddine Belaïd,Algeria,Defender,DF,27,1.dz JS Kabylie,1999,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0
Rafik Belghali,Algeria,Defender,DF,24,1.it Hellas Verona,2002,4,4,331,3.7,1,0,1,1,0,0,0,0,0.27,0.0
Joe Bell,New Zealand,Midfielder,MF,27,1.no Viking,1999,3,3,243,2.7,0,0,0,0,0,0,0,0,0.0,0.0
Jean-Ricner Bellegarde,Haiti,Midfielder,MF,27,1.eng Wolves,1998,3,3,260,2.9,0,0,0,0,0,0,1,0,0.0,0.0
Jude Bellingham,England,Midfielder,MF,22,1.es Real Madrid,2003,8,7,614,6.8,7,1,8,7,0,0,1,0,1.03,0.15
Mortadha Ben Ouanes,Tunisia,Defender,DFMF,31,1.tr Kasımpaşa,1994,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0
Anis Ben Slimane,Tunisia,Midfielder,MFFW,25,2.eng Norwich City,2001,3,3,240,2.7,0,0,0,0,0,0,0,0,0.0,0.0
Oussama Benbot,Algeria,Goalkeeper,GK,31,1.dz USM Alger,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0
Nadhir Benbouali,Algeria,Forward,FW,26,1.hu Győr,2000,1,0,45,0.5,1,0,1,1,0,0,0,0,2.0,0.0
Gilson Benchimol,Cabo Verde,Forward,FW,24,1.ru Akron Tolyatti,2001,2,1,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0
Ramy Bensebaini,Algeria,Defender,DF,31,1.de Dortmund,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0
Nabil Bentaleb,Algeria,Midfielder,MF,31,1.fr Lille,1994,4,3,285,3.2,0,0,0,0,0,0,0,0,0.0,0.0
Rodrigo Bentancur,Uruguay,Midfielder,MF,28,1.eng Tottenham,1997,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0
Patrick Berg,Norway,Midfielder,MF,28,1.no Bodø/Glimt,1997,6,4,445,4.9,0,2,2,0,0,0,1,0,0.0,0.4
Sander Berge,Norway,Midfielder,MF,28,1.eng Fulham,1998,5,5,480,5.3,0,0,0,0,0,0,0,0,0.0,0.0
Lucas Bergvall,Sweden,Midfielder,MF,20,1.eng Tottenham,2006,4,1,181,2.0,0,1,1,0,0,0,1,0,0.0,0.5
Sebastian Berhalter,USA,Midfielder,MF,25,1.us Vancouver,2001,5,1,187,2.1,1,1,2,1,0,0,1,0,0.48,0.48
Alexander Bernhardsson,Sweden,Midfielder,MF,27,2.de Holstein Kiel,1998,3,3,217,2.4,0,0,0,0,0,0,0,0,0.0,0.0
Tyler Bindon,New Zealand,Defender,DF,21,2.eng Sheffield United,2005,3,1,97,1.1,0,0,0,0,0,0,0,0,0.0,0.0
César Blackman,Panama,Midfielder,MFDF,28,1.sk Slovan Bratislava,1998,2,2,178,2.0,0,0,0,0,0,0,1,0,0.0,0.0
Damián Bobadilla,Paraguay,Midfielder,MF,24,1.br São Paulo,2001,4,2,189,2.1,0,0,0,0,0,0,0,0,0.0,0.0
Oscar Bobb,Norway,Forward,FW,22,1.eng Fulham,2003,6,1,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0
Moïse Bombito,Canada,Defender,DF,26,1.fr Nice,2000,3,2,193,2.1,0,0,0,0,0,0,0,0,0.0,0.0
Theo Bongonda,Congo DR,Forward,FWMF,30,1.ru Spartak Moscow,1995,2,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0
Ange-Yoan Bonny,Côte d'Ivoire,Forward,FW,22,1.it Inter,2003,4,3,234,2.6,0,0,0,0,0,0,0,0,0.0,0.0
Jordy Bos,Australia,Midfielder,MFDF,23,1.nl Feyenoord,2002,4,4,308,3.4,0,0,0,0,0,0,1,0,0.0,0.0
Ayyoub Bouaddi,Morocco,Midfielder,MF,18,1.fr Lille,2007,5,5,381,4.2,0,0,0,0,0,0,0,0,0.0,0.0
Hicham Boudaoui,Algeria,Midfielder,MF,26,1.fr Nice,1999,3,2,128,1.4,0,0,0,0,0,0,1,0,0.0,0.0
Karim Boudiaf,Qatar,Midfielder,MF,35,1.qa Al Duhail SC,1990,2,1,102,1.1,0,0,0,0,0,0,0,0,0.0,0.0
Adil Boulbina,Algeria,Forward,FW,23,1.qa Al Duhail SC,2003,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0
Yassine Bounou,Morocco,Goalkeeper,GK,35,1.sa Al-Hilal,1991,6,6,570,6.3,0,0,0,0,0,0,0,0,0.0,0.0
Nawaf Boushal,Saudi Arabia,Defender,DF,26,1.sa Al-Nassr,1999,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0
Michael Boxall,New Zealand,Defender,DF,37,1.us Minnesota Utd,1988,3,2,207,2.3,0,0,0,0,0,0,0,0,0.0,0.0
Sultan Al-Brake,Qatar,Defender,DF,30,1.qa Al Duhail SC,1996,2,1,141,1.6,0,0,0,0,0,0,0,0,0.0,0.0
Joshua Brenet,Curaçao,Defender,DF,32,1.tr Kayserispor,1994,2,2,179,2.0,0,0,0,0,0,0,0,0,0.0,0.0
Brian Brobbey,Netherlands,Forward,FW,24,1.eng Sunderland,2002,4,3,223,2.5,3,0,3,3,0,0,0,0,1.21,0.0
Dylan Bronn,Tunisia,Defender,DF,30,1.ch Servette FC,1995,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0
Nathaniel Brown,Germany,Defender,DF,22,1.de Frankfurt,2003,3,3,282,3.1,1,1,2,1,0,0,0,0,0.32,0.32
Tajon Buchanan,Canada,Midfielder,MF,27,1.es Villarreal,1999,5,5,376,4.2,0,0,0,0,0,0,0,0,0.0,0.0
Ante Budimir,Croatia,Forward,FW,34,1.es Osasuna,1991,3,2,155,1.7,1,0,1,1,0,0,0,0,0.58,0.0
Firas Al-Buraikan,Saudi Arabia,Forward,FW,26,1.sa Al-Ahli,2000,3,3,238,2.6,0,0,0,0,0,0,1,0,0.0,0.0
Cameron Burgess,Australia,Defender,DF,30,2.eng Swansea City,1995,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0
Dan Burn,England,Defender,DF,34,1.eng Newcastle,1992,3,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0
Dženis Burnić,Bosnia–Herz,Midfielder,MF,28,2.de Karlsruher,1998,2,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0
Gustavo Caballero,Paraguay,Forward,FWMF,24,2.eng Portsmouth,2001,2,0,96,1.1,0,0,0,0,0,0,0,0,0.0,0.0
Jovane Cabral,Cabo Verde,Forward,FW,28,1.pt Estrela,1998,2,2,139,1.5,0,0,0,0,0,0,0,0,0.0,0.0
Liberato Cacace,New Zealand,Defender,DF,25,2.eng Wrexham,2000,3,3,220,2.4,0,0,0,0,0,0,0,0,0.0,0.0
Juan Cáceres,Paraguay,Defender,DF,26,1.ru Dynamo Moskva,2000,5,5,436,4.8,0,0,0,0,0,0,1,0,0.0,0.0
Sebastián Cáceres,Uruguay,Defender,DF,26,1.mx América,1999,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0
Jordy Caicedo,Ecuador,Forward,FW,28,1.ar Huracán,1997,3,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0
Moisés Caicedo,Ecuador,Midfielder,MF,24,1.eng Chelsea,2001,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0
Uğurcan Çakır,Türkiye,Goalkeeper,GK,30,1.tr Galatasaray,1996,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0
Hakan Çalhanoğlu,Türkiye,Midfielder,MF,32,1.it Inter,1994,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0
Lamine Camara,Senegal,Midfielder,MF,22,1.fr Monaco,2004,4,3,248,2.8,0,1,1,0,0,0,1,0,0.0,0.36
Jaminton Campaz,Colombia,Forward,FWMF,26,1.ar Rosario Central,2000,3,0,75,0.8,1,0,1,1,0,0,0,0,1.2,0.0
İrfan Can Kahveci,Türkiye,Midfielder,MF,30,1.tr Kasımpaşa,1995,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0
José Canale,Paraguay,Defender,DF,29,1.ar Lanús,1996,4,1,161,1.8,0,0,0,0,0,0,0,0,0.0,0.0
João Cancelo,Portugal,Defender,DF,32,1.es Barcelona,1994,5,5,312,3.5,0,1,1,0,0,0,0,0,0.0,0.29
Agustín Canobbio,Uruguay,Forward,FW,27,1.br Fluminense,1998,3,2,224,2.5,1,0,1,1,0,0,0,1,0.4,0.0
Casemiro,Brazil,Midfielder,MF,34,1.eng Manchester Utd,1992,5,5,379,4.2,1,0,1,1,0,0,2,0,0.24,0.0
Josué Casimir,Haiti,Midfielder,MF,24,1.fr Auxerre,2001,3,2,182,2.0,0,0,0,0,0,0,1,0,0.0,0.0
Timothy Castagne,Belgium,Defender,DF,30,1.eng Fulham,1995,6,5,478,5.3,0,1,1,0,0,0,1,0,0.0,0.19
Kevin Castaño,Colombia,Midfielder,MF,25,1.ar River Plate,2000,2,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0
Jens Castrop,Korea Republic,Midfielder,MF,22,1.de Gladbach,2003,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0
Zeki Çelik,Türkiye,Defender,DF,29,1.it Roma,1997,2,2,163,1.8,0,0,0,0,0,0,0,0,0.0,0.0
Lukáš Červ,Czechia,Midfielder,MF,25,1.cz Viktoria Plzeň,2001,2,2,163,1.8,0,0,0,0,0,0,0,0,0.0,0.0
Fares Chaïbi,Algeria,Midfielder,MF,23,1.de Frankfurt,2002,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0
Trevoh Chalobah,England,Defender,DFMF,26,1.eng Chelsea,1999,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Štěpán Chaloupek,Czechia,Defender,DF,23,1.cz Slavia Prague,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0
